Date,Open,High,Low,Close,Volume,Adj Close,Returns
14-03-2012,1346,1365.9,1339.25,1354.8,353600,1237.71,0.011735297
15-03-2012,1353,1360.05,1338.1,1343.85,235900,1227.71,-0.008112253
16-03-2012,1336,1355,1320.65,1339.9,630500,1224.1,-0.002944765
19-03-2012,1336.1,1383.55,1325.35,1354.95,467600,1237.85,0.011170124
20-03-2012,1355,1378,1340,1359.35,242100,1241.87,0.003242304
21-03-2012,1359,1397,1355,1390.75,571900,1270.55,0.022831569
22-03-2012,1385,1405,1331.1,1344.5,390700,1228.3,-0.033818778
23-03-2012,1349.7,1385,1341.25,1372.05,321800,1253.47,0.020284606
26-03-2012,1360.25,1365.7,1324,1330.3,146200,1215.33,-0.03090006
27-03-2012,1335,1344.95,1303.15,1324.3,488200,1209.85,-0.00451926
28-03-2012,1321,1339.05,1311.2,1324,361300,1209.57,-0.00023146
29-03-2012,1324.8,1328.7,1291.5,1322.3,598900,1208.02,-0.001282269
30-03-2012,1313.8,1375,1296.5,1359.45,305700,1241.96,0.027708121
02-04-2012,1356,1371.3,1334.75,1342,306900,1226.02,-0.012917626
03-04-2012,1352,1373.25,1351.5,1364.25,387700,1246.34,0.016438106
04-04-2012,1362.7,1362.7,1336,1344.7,136600,1228.48,-0.014433624
09-04-2012,1330.1,1337,1308.45,1312.1,243200,1198.7,-0.024539997
10-04-2012,1322.45,1322.45,1295,1300.05,550900,1187.69,-0.009227392
11-04-2012,1287,1287,1221.05,1236.5,696600,1129.63,-0.050120099
12-04-2012,1250,1284.2,1246,1279.55,323000,1168.96,0.034224319
13-04-2012,1285.25,1304.7,1253.35,1258.75,209500,1149.96,-0.016387305
16-04-2012,1253,1266.95,1231,1237.75,249800,1130.78,-0.016819499
17-04-2012,1240,1261.05,1222,1254.7,422200,1146.26,0.013596809
18-04-2012,1269.55,1308.5,1261.7,1297.2,568100,1185.09,0.033314252
19-04-2012,1309.9,1319,1238.3,1247.6,1232400,1139.77,-0.038992233
20-04-2012,1240,1240,1198.2,1226.9,1271100,1120.86,-0.01673024
23-04-2012,1215,1253.5,1215,1243.45,539600,1135.98,0.013399467
24-04-2012,1245,1255.5,1203.5,1214.1,437900,1109.17,-0.023883727
25-04-2012,1224.9,1234.5,1188,1194.7,370600,1091.45,-0.0161049
26-04-2012,1195,1225,1194.6,1218.85,244400,1113.51,0.020010101
27-04-2012,1210.05,1237.9,1189.45,1195.05,327400,1091.77,-0.019716956
30-04-2012,1196,1246,1196,1237.15,298900,1130.23,0.034620919
02-05-2012,1241,1249.8,1203.2,1212.85,337900,1108.03,-0.019837488
03-05-2012,1201.05,1239.85,1196.1,1206.85,487400,1102.55,-0.004957985
04-05-2012,1198,1222,1197,1208.45,452800,1104.01,0.001323327
07-05-2012,1195,1242,1186.75,1235,472300,1128.26,0.021727617
08-05-2012,1230.1,1250,1212,1221.85,285400,1116.25,-0.01070177
09-05-2012,1205.15,1219,1195.45,1201.9,170300,1098.02,-0.016466295
10-05-2012,1200.05,1225,1196,1199.05,234200,1095.42,-0.002370706
11-05-2012,1187.1,1203.45,1155,1165.95,292100,1065.18,-0.027994052
14-05-2012,1166,1187.75,1146.95,1173.3,340200,1071.9,0.006288976
15-05-2012,1161,1186.8,1161,1174.35,375600,1072.85,0.000885884
16-05-2012,1153.15,1179.9,1140.05,1172.45,483400,1071.12,-0.001613829
17-05-2012,1175,1182,1147.85,1170.9,528700,1069.7,-0.001326595
18-05-2012,1160,1178.9,1154.4,1159.9,240600,1059.65,-0.00943957
21-05-2012,1157,1168.7,1142,1145.1,337600,1046.13,-0.012841024
22-05-2012,1150,1157.45,1125,1130.2,338300,1032.52,-0.013095225
23-05-2012,1128.8,1141,1117.45,1130.45,347400,1032.75,0.000222731
24-05-2012,1132.1,1162.3,1116.2,1155.5,369300,1055.63,0.021912598
25-05-2012,1145.1,1156.8,1138,1144.2,168700,1045.31,-0.009824253
28-05-2012,1145,1174.35,1133.2,1163.95,336500,1063.35,0.01711081
29-05-2012,1174.5,1174.5,1133.15,1137.95,313500,1039.6,-0.022588278
30-05-2012,1138,1169,1130,1162.5,350200,1062.03,0.021346147
31-05-2012,1153,1168.6,1135.15,1140.95,907200,1042.34,-0.018713985
01-06-2012,1151.9,1151.9,1120.05,1126.85,327100,1029.46,-0.012433793
04-06-2012,1115.15,1133.4,1104.05,1125.35,253900,1028.09,-0.001331681
05-06-2012,1113.1,1143,1112,1129.7,306500,1032.06,0.003854093
06-06-2012,1131.9,1165.95,1131.9,1158.65,498700,1058.51,0.025305454
07-06-2012,1169,1171.6,1142.55,1154.6,293000,1054.81,-0.003501603
08-06-2012,1141.05,1153.25,1131.6,1147.6,277100,1048.42,-0.006076387
11-06-2012,1151.05,1169,1142.1,1149.4,252800,1050.06,0.001563036
12-06-2012,1147.5,1194.5,1136.5,1188,447900,1085.33,0.033036783
13-06-2012,1195.8,1195.8,1173.5,1180.1,320300,1078.11,-0.00667458
14-06-2012,1174,1208,1171.3,1189.95,579800,1087.11,0.008313291
15-06-2012,1202.4,1231.6,1195.1,1223.25,486500,1117.53,0.027598094
18-06-2012,1230,1248.9,1218,1225.55,443400,1119.63,0.001877381
19-06-2012,1215,1237.5,1201.45,1227.95,333300,1121.82,0.001954093
20-06-2012,1186,1282.7,1180.1,1271.2,2090500,1161.33,0.034613534
21-06-2012,1246,1264.95,1227.35,1253.7,861600,1145.35,-0.013855633
22-06-2012,1193,1241.7,1190.1,1215.05,1188100,1110.04,-0.031314216
25-06-2012,1213,1232.85,1204,1208.95,376200,1104.46,-0.005039523
26-06-2012,1214.95,1228,1209,1220.55,250300,1115.06,0.009551687
27-06-2012,1228.05,1230,1203.85,1204.4,378900,1100.31,-0.013316257
